#Creator: pendulumEventBuffer
#Creation time: Tue Jan  1 01:30:49 2013
#Time	Period	Transit time
#[s]	[s]	[s]
377.709506	2.115225	0.023896
378.767106	2.115181	0.023968
379.824687	2.115132	0.024038
380.882238	2.115093	0.024112
381.939780	2.115054	0.024188
382.997292	2.115008	0.024256
384.054788	2.114966	0.024328
385.112258	2.114928	0.024404
386.169716	2.114882	0.024480
387.227140	2.114840	0.024552
388.284556	2.114780	0.024624
389.341920	2.114718	0.024700
390.399274	2.114684	0.024776
391.456604	2.114645	0.024856
392.513919	2.114593	0.024930
393.571197	2.114543	0.024998
394.628462	2.114494	0.025076
395.685691	2.114445	0.025154
396.742907	2.114402	0.025230
397.800093	2.114359	0.025306
398.857266	2.114308	0.025380
399.914401	2.114263	0.025454
400.971529	2.114226	0.025530
402.028627	2.114174	0.025606
403.085703	2.114128	0.025686
404.142755	2.114093	0.025770
405.199796	2.114047	0.025848
406.256802	2.113992	0.025920
407.313788	2.113945	0.025996
408.370747	2.113902	0.026078
409.427690	2.113851	0.026160
410.484598	2.113814	0.026240
411.541504	2.113781	0.026320
412.598379	2.113745	0.026398
413.655249	2.113696	0.026474
414.712075	2.113643	0.026554
415.768892	2.113609	0.026640
416.825684	2.113575	0.026720
417.882467	2.113534	0.026798
418.939218	2.113487	0.026876
419.995954	2.113442	0.026960
421.052660	2.113402	0.027040
422.109356	2.113362	0.027116
423.166022	2.113326	0.027200
424.222682	2.113293	0.027284
425.279315	2.113260	0.027366
426.335942	2.113226	0.027448
427.392541	2.113194	0.027530
428.449136	2.113151	0.027612
429.505692	2.113100	0.027700
430.562236	2.113059	0.027780
431.618751	2.113025	0.027858
432.675261	2.112999	0.027942
433.731750	2.112959	0.028028
434.788220	2.112900	0.028108
435.844650	2.112861	0.028192
436.901081	2.112830	0.028282
437.957480	2.112788	0.028364
439.013869	2.112747	0.028454
440.070227	2.112707	0.028542
441.126576	2.112689	0.028624
442.182916	2.112661	0.028712
443.239237	2.112606	0.028798
444.295522	2.112585	0.028888
445.351822	2.112557	0.028976
446.408079	2.112508	0.029054
447.464330	2.112478	0.029140
448.520557	2.112437	0.029234
449.576767	2.112387	0.029314
450.632944	2.112353	0.029400
451.689120	2.112327	0.029496
452.745271	2.112287	0.029586
453.801407	2.112242	0.029674
454.857513	2.112224	0.029758
455.913631	2.112200	0.029850
456.969713	2.112147	0.029934
458.025778	2.112108	0.030024
