#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
19.592	536	19.617	546
19.642	562	19.668	568
19.693	582	19.719	583
19.743	599	19.769	593
19.795	607	19.820	597
19.845	610	19.870	594
19.896	603	19.922	586
19.946	592	19.972	571
19.997	573	20.023	553
20.048	550	20.073	530
20.099	523	20.124	504
20.149	493	20.174	476
20.200	462	20.226	448
20.250	433	20.276	420
20.301	406	20.327	398
20.352	383	20.377	377
20.403	363	20.428	363
20.453	350	20.479	353
20.504	342	20.530	349
20.554	340	20.580	352
20.606	345	20.631	361
20.656	358	20.681	375
20.707	374	20.733	394
20.757	396	20.783	417
20.808	421	20.834	443
20.859	451	20.884	470
20.910	481	20.935	498
20.960	511	20.986	525
21.011	539	21.037	548
21.061	564	21.087	569
21.112	584	21.138	582
21.163	598	21.188	591
21.214	606	21.239	595
21.265	607	21.290	593
21.315	602	21.341	583
21.366	588	21.391	570
21.417	569	21.442	551
21.468	546	21.492	528
21.518	519	21.544	503
21.569	489	21.594	476
21.619	460	21.645	448
21.671	430	21.695	421
21.721	404	21.746	398
21.772	381	21.797	380
21.822	363	21.848	365
21.873	350	21.898	356
21.923	343	21.949	351
21.975	343	21.999	354
22.025	349	22.050	363
22.076	361	22.101	377
22.126	378	22.152	396
22.177	400	22.202	419
22.228	427	22.253	445
22.279	455	22.303	471
22.329	484	22.355	499
22.380	514	22.405	524
22.430	542	22.456	547
22.482	566	22.506	566
22.532	584	22.557	580
22.583	597	22.608	589
22.633	605	22.659	592
22.684	605	22.709	591
22.734	597	22.760	581
22.786	584	22.810	567
22.836	566	22.861	549
22.887	542	22.912	527
22.937	515	22.963	501
22.988	486	23.013	474
23.039	456	23.064	447
23.090	429	23.114	421
23.140	402	23.166	399
23.191	380	23.216	379
23.241	363	23.267	365
23.293	351	23.317	356
23.343	345	23.368	354
23.394	345	23.419	356
23.444	352	23.470	365
23.495	365	23.520	379
23.546	382	23.571	398
23.597	405	23.621	422
23.647	431	23.672	446
23.698	458	23.723	473
23.748	488	23.774	500
23.799	517	23.824	525
23.850	544	23.875	547
23.901	566	23.925	566
23.951	584	23.977	581
24.002	597	24.027	590
24.052	603	24.078	591
24.104	602	24.128	588
24.154	595	24.179	580
24.205	581	24.230	566
24.255	562	24.281	546
24.306	538	24.332	525
24.357	510	24.382	500
24.408	482	24.433	474
24.458	453	24.483	447
24.509	425	24.535	421
24.559	400	24.585	399
24.610	380	24.636	381
24.661	363	24.686	366
24.712	352	24.737	358
24.762	347	24.788	356
24.813	348	24.839	358
24.863	356	24.889	367
24.915	368	24.940	382
24.965	388	24.990	400
25.016	409	25.042	423
25.066	434	25.092	448
25.117	462	25.143	475
25.168	491	25.193	501
25.219	520	25.244	526
25.269	545	25.294	548
25.320	567	25.346	566
25.370	584	25.396	580
25.421	595	25.447	588
25.472	601	25.497	590
25.523	599	25.548	586
25.573	591	25.599	578
25.624	577	25.650	564
25.674	558	25.700	545
25.726	534	25.751	523
25.776	507	25.801	498
25.827	479	25.853	472
25.877	450	25.903	446
25.928	423	25.954	421
25.979	400	26.004	399
26.030	379	26.055	381
26.080	365	26.106	368
26.131	353	26.157	359
26.181	350	26.207	357
26.232	352	26.258	359
26.283	359	26.308	368
26.334	372	26.359	383
26.384	390	26.410	402
26.435	413	26.461	425
26.485	439	26.511	450
26.537	466	26.562	476
26.587	495	26.612	502
26.638	521	26.664	526
26.688	547	26.714	548
26.739	567	26.765	566
26.790	583	26.815	579
26.841	593	26.866	587
26.891	599	26.917	589
26.942	596	26.968	586
26.992	587	27.018	577
27.043	573	27.069	563
27.094	553	27.119	544
27.145	530	27.170	522
27.195	503	27.221	497
27.246	475	27.272	471
27.296	448	27.322	445
27.348	422	27.373	421
27.398	399	27.423	399
27.449	380	27.475	381
27.499	365	27.525	368
27.550	355	27.576	360
27.601	352	27.626	357
27.652	354	27.677	361
27.702	363	27.728	372
27.753	376	27.779	386
27.803	395	27.829	405
27.854	417	27.880	428
27.905	442	27.930	451
27.956	469	27.981	477
28.006	496	28.032	503
28.057	523	28.083	528
28.107	547	28.133	549
28.159	567	28.184	566
28.209	583	28.234	579
28.260	592	28.286	587
28.310	595	28.336	589
28.361	593	28.387	585
28.412	584	28.437	576
28.463	569	28.488	561
28.513	549	28.539	542
28.564	526	28.590	519
28.614	500	28.640	496
28.666	472	28.691	470
28.716	446	28.741	443
28.767	421	28.792	420
28.817	398	28.843	399
28.868	380	28.894	381
28.918	367	28.944	368
28.970	358	28.995	361
29.020	355	29.045	359
29.071	357	29.097	363
29.121	367	29.147	373
29.172	381	29.198	387
29.223	398	29.248	406
29.274	420	29.299	430
29.324	446	29.350	453
29.375	471	29.401	478
29.425	498	29.451	505
29.477	524	29.502	529
29.527	547	29.552	550
29.578	566	29.603	566
29.628	582	29.654	579
29.679	590	29.705	586
29.729	592	29.755	588
29.781	589	29.806	584
29.831	581	29.856	574
29.882	565	29.908	559
29.932	547	29.958	541
29.983	522	30.009	518
30.034	497	30.059	493
30.085	470	30.110	467
30.135	444	30.161	442
30.186	420	30.212	418
30.236	398	30.262	398
30.288	381	30.313	381
30.338	368	30.363	369
30.389	360	30.414	362
30.439	357	30.465	360
30.490	361	30.516	365
30.540	370	30.566	374
30.592	384	30.617	389
30.642	403	30.667	408
30.693	423	30.719	431
30.743	448	30.769	455
30.794	473	30.820	481
30.845	500	30.870	507
30.896	525	30.921	530
30.946	547	30.972	551
30.997	565	31.023	566
31.047	579	31.073	579
31.099	587	31.124	586
31.149	590	31.174	587
31.200	586	31.226	583
31.250	576	31.276	573
31.301	561	31.327	557
31.351	541	31.377	539
31.403	519	31.428	516
31.453	493	31.478	491
31.504	468	31.530	466
31.554	442	31.580	441
31.605	419	31.631	417
31.656	399	31.681	397
31.707	381	31.732	379
31.757	371	31.783	368
31.808	362	31.834	362
31.858	361	31.884	360
31.910	364	31.935	366
31.960	375	31.985	376
32.011	387	32.037	391
32.061	406	32.087	411
32.112	428	32.138	434
32.162	451	32.188	458
32.214	476	32.239	483
32.264	502	32.289	508
