#Creator: pendulumviewEventBuffer
#Creation time: Fri Mar 15 09:51:11 2024
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
22.685	499	22.710	586
22.736	500	22.761	567
22.786	500	22.812	546
22.837	501	22.862	525
22.888	500	22.913	504
22.939	500	22.963	484
22.989	499	23.014	466
23.040	499	23.065	452
23.090	499	23.116	442
23.141	499	23.166	437
23.192	499	23.217	437
23.243	498	23.267	439
23.293	498	23.319	447
23.344	499	23.369	461
23.394	498	23.420	477
23.446	498	23.470	496
23.496	499	23.521	516
23.547	499	23.572	539
23.597	499	23.623	559
23.648	498	23.674	579
23.699	499	23.724	596
23.750	499	23.775	609
23.800	499	23.825	619
23.851	500	23.877	624
23.901	500	23.927	624
23.952	500	23.978	620
24.003	500	24.028	612
24.054	500	24.079	599
24.104	500	24.130	583
24.155	500	24.181	565
24.205	499	24.231	544
24.257	499	24.282	523
24.307	501	24.332	503
24.358	500	24.384	483
24.408	498	24.434	466
24.459	499	24.485	452
24.510	499	24.535	443
24.561	499	24.586	438
24.611	498	24.636	437
24.662	498	24.688	442
24.712	498	24.738	451
24.763	498	24.789	464
24.814	498	24.839	480
24.865	498	24.890	499
24.915	499	24.941	519
24.966	499	24.992	540
25.016	499	25.042	560
25.068	499	25.093	580
25.118	500	25.143	595
25.169	499	25.195	609
25.219	499	25.245	618
25.270	500	25.296	623
25.321	500	25.346	623
25.372	500	25.397	618
25.422	500	25.448	609
25.473	500	25.499	597
25.523	500	25.549	581
25.574	500	25.600	562
25.625	500	25.650	542
25.676	499	25.701	521
25.726	499	25.752	501
25.777	498	25.803	482
25.827	499	25.853	466
25.879	499	25.904	453
