#Creator: pendulumEventBuffer
#Creation time: Tue Jan  1 01:30:49 2013
#Time	Period	Transit time
#[s]	[s]	[s]
316.857274	2.121292	0.017940
317.917897	2.121214	0.017990
318.978488	2.121144	0.018040
320.039041	2.121064	0.018090
321.099552	2.120978	0.018140
322.160019	2.120899	0.018190
323.220451	2.120822	0.018242
324.280841	2.120749	0.018294
325.341200	2.120680	0.018348
326.401521	2.120587	0.018402
327.461787	2.120504	0.018454
328.522025	2.120441	0.018506
329.582228	2.120360	0.018560
